Asin,UserName,Rating,Subject,ReviewDate,Review
B08122HHX9,Wyrd2010,5.0 out of 5 stars,"Sleek, light, quick - so far, so good!","Reviewed in the United States on March 27, 2020","I bought my Lenovo Yoga C740 at BestBuy (the exact same color and specs that Amazon sells here and the exact same price) and have been using it for about two weeks. I will start with a possible warning, which may or may not turn out to be an issue - the laptop might be dropping randomly wifi connections. Mine did it a few times. Reconnecting is easy but no other laptop or any other smart device at home does it, so it might be a specific issue related to this laptop line. The Lenovo Yoga 730 and C940 lines appear to be having similar wifi issues and there are threads on the Lenovo forums about this problem, offering a number of possible solutions.Otherwise, the machine is very competent - light (about 3 lbs., 1.4 kg.), thin, comfortable, quick. Typing is easy, and the keys are very comfortable, the backlit keyboard has two settings, and the fingerprint sensor is accurate and fast. The battery is outstanding. It seems to last about 8-9 hours on full brightness and probably 14-15 hours on half (I read online reviews where it indeed lasted for 15 hours). The processor is good, although there are better 10th generation Intel i5 models out there, but the laptop is comfortably quick. The screen is bright, the colors are accurate and feel slightly warm. The webcam is fine (720p HD) and has a privacy shutter (a nice decision - it is built-in and requires you to slide it with your nails or with something very thin - the tiny sliding panel is located right above the webcam). The audio is quite loud, coming from a pair of Dolby Atmos speakers. The fan is quiet. It's a 2-in-1 type (Lenovo calls, in fact, a 4-in-1 ), and tablet mode also works well.The ports of the C740 are a bit unusual. It has two USB-C ports and one USB-A 3.1 port. You can charge it in any of the two USB-C ports (the charging adapter has a USB-C jack). It lacks an HDMI port. I bought a small hub from Amazon (QGeeM USB C Hub) that works well with it and has an HDMI port plus some more USB-A ports. I can also confirm that the laptop works well with a Wacom Bamboo Ink pen. It also works with a Lenovo Active Pen 1 or 2 (according to Lenovo). I only tested it with the Bamboo Ink stylus and have had no issues.One final word of caution: beware McAfee LiveSafe that might come pre-installed (the BestBuy model did). Years ago, I used to test AV software as a hobby. McAfee was always a pain to remove and would brick machines worse than other AV programs. This has not really changed over the years. On the day I bought this laptop, I almost returned it back to BestBuy, because after setting Windows 10 for the first time, McAfee got stuck with a bad update and I had to reset Windows because it became unresponsive and would load but then freeze. It was quite a fight to get it to start the resetting process because it would begin to do so and freeze again. After Windows was reset and McAfee removed, there have been no issues.To sum up, it's a nice, pretty stylish laptop. I would think that it is a bit overpriced (cheaper laptops from HP and Dell come with stronger Intel 10th generation i5 processors), but if you pair it against a MacBook (and it looks as nice or even nicer than a MacBook) - then the price would seems good."
B08122HHX9,Null,1.0 out of 5 stars,Frustrating experience,"Reviewed in the United States on August 10, 2020",Laptop was advertised as new but arrived in a Lenovo box with a broken seal and a user account already set up.  The return process took about three weeks from the time I shipped it back until the refund was issued.
B08122HHX9,D. B. Lingenfelter,1.0 out of 5 stars,RIP OFF,"Reviewed in the United States on August 13, 2020",Shipped without product key for windows 10. Runs on windows 8. TOTAL RIP OFF DO NOT PURCHASE.
B08122HHX9,Laura Hutchinson,1.0 out of 5 stars,Bad keyboard fresh out of the box— do NOT recommend,"Reviewed in the United States on August 13, 2020","Fresh out of the brand new packaging half the keyboard doesn’t work. “T”, “y”, backspace, both shifts, and caps lock are what I have noticed so far. Impossible to get anything accomplished with this. Immediately set to return it. Would NOT recommend as I’ve seen many post about keyboard issues as well!!"
B08122HHX9,FLNewGirl,5.0 out of 5 stars,My favorite laptop ever!,"Reviewed in the United States on November 1, 2020","I work from home and have a heavier Lenovo Thinkpad from work. This one is a lot more portable - around the house and when traveling. It's very responsive and quick. I use a blue marble ""skin"" on it to protect it from scratches. I am a 66 yr old educator who creates online graduate courses for a college in Chicago. I work remotely from Florida and have no problem doing my work on this Yoga. In fact, I've hardly used my work laptop since getting this one 2 mos ago. Favorite features: thin profile, screen brightness, backlit keyboard, and finger recognition for login (which works amazingly well). I've never regretted getting this laptop and highly recommend it."
B08122HHX9,Chelsea,5.0 out of 5 stars,Best Laptop for College Students!!,"Reviewed in the United States on October 5, 2020","Looking for a laptop for myself, a freshmen in college, I was so scared that I would purchase the wrong laptop. I looked and compared things for weeks on end. This was the best laptop that I could have ever bought for myself. It runs great, I find no problems in it being slow. The Touch screen works great. I love that I can fold it in have and use it as a tablet if I want. Sometimes when I'm laying in bed to watch a movie I can flip the screen backwards to stand it up. The sound is also amazing on this thing! I am able to have a lot of tabs open at once for school and I have had absolutely no troubles with anything so far. The camera quality is also fantastic for those of you stuck in zoom classes. The battery also last me through at least one, if not two full days of usage. It's really nice that the charger for the computer is a US-C cable, it works perfectly with my pixel phone! If i ever need to charge anything I just switch back and forth between my computer and my phone.Although quick thing, if there are any gamers stumbling on this computer. Although, it is a very amazing computer but I seriously doubt you can run anything heavy duty on here such as a Call of Duty game, CSGO, or anything that needs a lot of ram. If you love playing minecraft though, I was able to run that very easily without no problem.Overall it is a great computer, if anything ever happens to this one I will for sure buy from this company again. Also extra brownie points for this company because it came in A WEEK EARLIER THAN IT WAS SUPPOSED TOO!! I was shocked to find it in the mail. Any college student looking for a nice computer for school, don't worry no more because this is your best option!"
B08122HHX9,Jay,5.0 out of 5 stars,"Excellent product , fast shipping !","Reviewed in the United States on June 13, 2020","Had the c720 and was ready to upgrade. Build quality is excellent, touch screen is fantastic. Just about everything has been upgraded and it is great. Arrived 2 days earlier!! Great shipping, great price !!"
B08122HHX9,Tigerlily,5.0 out of 5 stars,"Great product, great price, reliable seller","Reviewed in the United States on September 2, 2020","This Lenovo Yoga is great for the price.  I bought it because of the reputation of this brand and this seller.  The laptop is crisp and reliable, gives me all I need for office use and some play.  I learned that Lenovo doesn’t allow memory expansion so I’m not sure I’d go with this brand if I were a heavy user, but it suits my needs and is fast for me.Also, I appreciate the seller who has a great satisfaction rating and gives a 30 day guarantee on their product.  Received it in less than half the time anticipated. (thanks!)"
B08122HHX9,Amazon Customer,4.0 out of 5 stars,Great laptop for its price!,"Reviewed in the United States on August 10, 2020","I've owned this laptop for a month and so far I have to say it's an amazing product for its price (bought it at 650$). Good performance overall, I'd recomend it for students, browsing, office and streaming (youtube, netflix).Pros-Good display and color accuracy-good build quality-light weight and good lookingCons-glossy screen  (would not recomend for outdoor use, looks like a mirror)-my unit gets very hot sometimes when charger plugged inSo far no problems with wifi connections Nor screen or trackpad issues. Decent speakers and keyboard."
B08122HHX9,MIkeZ,5.0 out of 5 stars,Great lightweight laptop,"Reviewed in the United States on September 3, 2020","Purchased for wife who wanted slim lightweight powerful machine.  just registered with Lenovo and does not appear to be any issues with 1 year warranty.  Only thing is would like to have had 512 GB SSD, only 256 GB.Seller did great job in getting in few days and no issues with packaging.  One comment was surprised that signature was not required.  This was a good value on Amazon and seller was great."
